ID,Bank,City,Branch,SWIFT Code
431,PT NISP SEKURITAS,JAKARTA,,ABSDIDJ1
432,PT RHB ASSET MANAGEMENT INDONESIA,JAKARTA,,RAMDIDJ1
433,PT SAMUEL SEKURITAS INDONESIA,JAKARTA,,NUSCIDJ1
434,PT SAMUEL SEKURITAS INDONESIA,JAKARTA,,SAKIIDJ1
435,PT SCHRODER INVESTMENT MANAGEMENT INDONESIA,JAKARTA,,SIMDIDJ1
436,PT SEMESTA INDOVEST SEKURITAS,JAKARTA,,SEMIIDJ1
437,PT SUCOR SEKURITAS,JAKARTA,,SUCGIDJ1
438,PT SUCOR SEKURITAS,SURABAYA,,SUCGIDJ10JD
439,PT SUN LIFE INDONESIA SERVICES,JAKARTA,,SLISIDJ1
440,PT SUPRA SECURINVEST,JAKARTA,,SUPEIDJ1
441,PT TRAVELOKA INDONESIA,TANGERANG,,TRVIIDJA
442,PT TRIMEGAH SECURITIES TBK,JAKARTA,,TRSSIDJ1
443,PT UBS SECURITIES INDONESIA,JAKARTA,,SBWNIDJ1
444,PT UBS SECURITIES INDONESIA,JAKARTA,,SBWIIDJ2
445,PT VERDHANA SEKURITAS INDONESIA,JAKARTA,,VESNIDJ2
446,PT. AMANAH ANTAR ARTA,CIREBON,,AMTAIDJ2
447,"PT. BANK CIMB NIAGA, TBK.",BANDUNG,LEMBONG BRANCH,BNIAIDJ10J6
448,"PT. BANK CIMB NIAGA, TBK.",JAKARTA,GAJAH MADA REGIONAL OFFICE,BNIAIDJAGMA
449,"PT. BANK CIMB NIAGA, TBK.",JAKARTA,HEAD OFFICE OPERATION,BNIAIDJA
450,"PT. BANK CIMB NIAGA, TBK.",JAKARTA,THAMRIN BRANCH,BNIAIDJATHM
451,"PT. BANK CIMB NIAGA, TBK.",LAMPUNG,LAMPUNG BRANCH,BNIAIDJ10S2
452,"PT. BANK CIMB NIAGA, TBK.",MEDAN,MEDAN BRANCH,BNIAIDJ10SS
453,"PT. BANK CIMB NIAGA, TBK.",SEMARANG,SEMARANG BRANCH,BNIAIDJASMG
454,"PT. BANK CIMB NIAGA, TBK.",SURABAYA,TUNUNGAN BRANCH,BNIAIDJATUN
455,"PT. BANK CIMB NIAGA, TBK.",UJUNG PANDANG,UJUNG PANDANG BRANCH,BNIAIDJ10D2
456,PT. BANK COMMONWEALTH,JAKARTA,,BICNIDJA
457,"PT. BANK DANAMON INDONESIA, TBK",BALIKPAPAN,L/C DEPARTMENT,BDINIDJABPN
458,"PT. BANK DANAMON INDONESIA, TBK",BANDUNG,BANDUNG OTISTA BRANCH,BDINIDJAOTI
459,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,,BDINIDJA
460,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,CORPORATE LC PROCESSING CENTRE,BDINIDJACLC
461,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,CUSTODIAL SERVICES,BDINIDJACUS
462,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,FINANCIAL INSTITUTIONS CORRESPONDENT BANKING,BDINIDJAIFI
463,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,INTERNATIONAL REMITTANCE,BDINIDJARMT
464,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,L/C PROCESSING CENTER - MAKASSAR,BDINIDJAMKS
465,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,LC CENTRE,BDINIDJALCC
466,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,P. JAYAKARTA BRANCH,BDINIDJ10J3
467,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,TRANSACTIONS PROCESSING CENTRE,BDINIDJATPC
468,"PT. BANK DANAMON INDONESIA, TBK",JAKARTA,TREASURY OPERATIONS,BDINIDJATRS
469,"PT. BANK DANAMON INDONESIA, TBK",MEDAN,MEDAN-ISKANDARMUDA BRANCH,BDINIDJAMIM
470,"PT. BANK DANAMON INDONESIA, TBK",MERAUKE,L/C DEPARTMENT-MEARUKE,BDINIDJAMRK
471,"PT. BANK DANAMON INDONESIA, TBK",SEMARANG,SEMARANG PEMUDA BRANCH,BDINIDJASPM
472,"PT. BANK DANAMON INDONESIA, TBK",SOLO,SOLO SRATEN BRANCH,BDINIDJASSR
473,"PT. BANK DANAMON INDONESIA, TBK",SURABAYA,L/C PROCESSING CENTRE SURABAYA,BDINIDJASBY
474,"PT. BANK DANAMON INDONESIA, TBK",TANJUNG PINANG,LC DEPARTMENT,BDINIDJATJP
475,"PT. BANK DANAMON INDONESIA, TBK",YOGYAKARTA,L/C DEPARTMENT-YOGYAKARTA,BDINIDJAYGY
476,PT. BANK GANESHA,JAKARTA,,GNESIDJA
477,PT. BANK HIBANK INDONESIA,JAKARTA,,MAYOIDJA
478,PT. BANK HIBANK INDONESIA,JAKARTA,,HBNIIDJA
479,PT. BANK JATIM,SURABAYA,,BJTMIDJA
480,PT. BANK JTRUST INDONESIA TBK,JAKARTA,,CICTIDJA
481,PT. BANK KEB HANA INDONESIA,JAKARTA,,HNBNIDJA
482,PT. BANK MASPION INDONESIA TBK,SURABAYA,,MASDIDJS
483,PT. BANK MASPION INDONESIA TBK,SURABAYA,,MASDIDJ1
484,PT. BANK MAYAPADA INTERNATIONAL TBK,JAKARTA,,MAYAIDJA
485,PT. BANK MEGA SYARIAH,JAKARTA,,BMSIIDJA
486,"PT. BANK MUAMALAT INDONESIA , TBK",JAKARTA,,MUABIDJA
487,PT. BANK NAGARI,PADANG,,PDSBIDSP
488,PT. BANK NATIONALNOBU,JAKARTA,,NOBUIDJA
489,PT. BANK NISP TBK,ANDIR,BANDUNG BRANCH,NISPID610J4
490,PT. BANK NISP TBK,BOGOR,BOGOR BRANCH,NISPID610J3
491,PT. BANK NISP TBK,CIMAHI,CIMAHI BRANCH,NISPID610J5
492,PT. BANK NISP TBK,JAKARTA,HEAD OFFICE,NISPID61
493,"PT. BANK OF INDIA INDONESIA,TBK",JAKARTA,,BKIDIDJA
494,PT. BANK PEMBANGUNAN DAERAH BALI,DENPASAR,,ABALIDBS
495,"PT. BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN, TBK",BANDUNG,,PDJBIDJA
496,PT. BANK PEMBANGUNAN DAERAH KALIMANTAN TIMUR DAN KALIMANTAN UTARA,SAMARINDA,,PDKTIDJA
497,PT. BANK PEMBANGUNAN DAERAH NUSA TENGGARA TIMUR,KUPANG,,PDNTIDJA
498,PT. BANK PEMBANGUNAN DAERAH SUMATERA SELATAN DAN BANGKA BELITUNG,PALEMBANG,,BSSPIDSP
499,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",AMBON,AMBON BRANCH,BRINIDJA001
500,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BAGAN SIAPI-API,BAGAN SIAPI-API BRANCH,BRINIDJA002
501,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BANDA ACEH,BANDA ACEH BRANCH,BRINIDJA037
502,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BANDUNG,ASIA AFRIKA BRANCH,BRINIDJA005
503,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BANDUNG,DEWI SARTIKA BRANCH,BRINIDJA286
504,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BANJARMASIN,BANJARMASIN BRANCH,BRINIDJA003
505,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BATAM,BATAM BRANCH,BRINIDJA331
506,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BENGKALIS,BENGKALIS BRANCH,BRINIDJA189
507,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BIAK,BIAK BRANCH,BRINIDJA308
508,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",BONTANG,BONTANG BRANCH,BRINIDJA333
509,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",CIREBON,CIREBON BRANCH,BRINIDJA107
510,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",DILI,DILI BRANCH,BRINIDJA317
511,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK",DUMAI,DUMAI BRANCH,BRINIDJA159
